cell_id,group,mode,channel,profile,region,overshoot_above_plateaus,undershoot_below_plateaus,max_minus_upper_plateau,min_minus_lower_plateau,max_x_pixels,min_x_pixels
67#6,MC_OFF,R4_H1_off,logit,ramp,bright_boundary,0.0,-0.0085221529006958,-0.15063893795013428,-0.0085221529006958,2,5
67#6,MC_OFF,R4_H1_off,logit,matched_uniform,dark_boundary,0.0,0.0,0.0,0.15063893795013428,-6,-2
67#6,MC_OFF,R4_H1_off,logit,matched_uniform,bright_boundary,0.0,0.0,-0.15063893795013428,0.0,2,4
67#6,MC_OFF,R4_H1_off,probability,ramp,dark_boundary,0.0015645623207092285,0.0,0.0015645623207092285,0.02546049654483795,-5,-2
67#6,MC_OFF,R4_H1_off,probability,ramp,bright_boundary,0.0,-0.0013733357191085815,-0.02647899091243744,-0.0013733357191085815,2,5
67#6,MC_OFF,R4_H1_off,probability,matched_uniform,dark_boundary,0.0,0.0,0.0,0.02546049654483795,-6,-2
67#6,MC_OFF,R4_H1_off,probability,matched_uniform,bright_boundary,0.0,0.0,-0.02647899091243744,0.0,2,4
67#6,MC_OFF,R4_AC_off,logit,ramp,dark_boundary,0.0026372671127319336,0.0,0.0026372671127319336,0.3201892375946045,-5,-2
67#6,MC_OFF,R4_AC_off,logit,ramp,bright_boundary,0.0,-0.0026372671127319336,-0.32018911838531494,-0.0026372671127319336,2,5
67#6,MC_OFF,R4_AC_off,logit,matched_uniform,dark_boundary,0.0,0.0,0.0,0.31902647018432617,-6,-2
67#6,MC_OFF,R4_AC_off,logit,matched_uniform,bright_boundary,0.0,0.0,-0.3190263509750366,0.0,2,4
67#6,MC_OFF,R4_AC_off,probability,ramp,dark_boundary,0.0005311369895935059,0.0,0.0005311369895935059,0.053038135170936584,-5,-2
67#6,MC_OFF,R4_AC_off,probability,ramp,bright_boundary,0.0,-0.0003765672445297241,-0.05732929706573486,-0.0003765672445297241,2,5
67#6,MC_OFF,R4_AC_off,probability,matched_uniform,dark_boundary,0.0,0.0,0.0,0.05282050371170044,-6,-2
67#6,MC_OFF,R4_AC_off,probability,matched_uniform,bright_boundary,0.0,0.0,-0.057146161794662476,0.0,2,4
67#6,MC_OFF,LN,logit,ramp,dark_boundary,0.0,0.0,-1.0728836059570312e-06,0.28535377979278564,-6,-2
67#6,MC_OFF,LN,logit,ramp,bright_boundary,0.0,0.0,-0.13775205612182617,0.023143410682678223,2,6
67#6,MC_OFF,LN,logit,matched_uniform,dark_boundary,0.0,0.0,0.0,0.22312140464782715,-6,-2
67#6,MC_OFF,LN,logit,matched_uniform,bright_boundary,0.0,0.0,-0.22312140464782715,0.0,2,4
67#6,MC_OFF,LN,probability,ramp,dark_boundary,0.0,0.0,-1.7881393432617188e-07,0.04425130784511566,-6,-2
67#6,MC_OFF,LN,probability,ramp,bright_boundary,0.0,0.0,-0.023174762725830078,0.0031353533267974854,2,6
67#6,MC_OFF,LN,probability,matched_uniform,dark_boundary,0.0,0.0,0.0,0.03352813422679901,-6,-2
67#6,MC_OFF,LN,probability,matched_uniform,bright_boundary,0.0,0.0,-0.036067187786102295,0.0,2,4
67#7,MC_ON,R4_normal,logit,ramp,dark_boundary,0.0,-0.010613083839416504,-0.09739363193511963,-0.010613083839416504,-2,-5
67#7,MC_ON,R4_normal,logit,ramp,bright_boundary,0.01061248779296875,0.0,0.01061248779296875,0.09739339351654053,5,2
67#7,MC_ON,R4_normal,logit,matched_uniform,dark_boundary,0.0,0.0,-0.09704673290252686,0.0,-2,-6
67#7,MC_ON,R4_normal,logit,matched_uniform,bright_boundary,0.0,0.0,0.0,0.09704649448394775,4,2
67#7,MC_ON,R4_normal,probability,ramp,dark_boundary,0.0,-0.0017151683568954468,-0.01655001938343048,-0.0017151683568954468,-2,-5
67#7,MC_ON,R4_normal,probability,ramp,bright_boundary,0.0018117725849151611,0.0,0.0018117725849151611,0.015816539525985718,5,2
67#7,MC_ON,R4_normal,probability,matched_uniform,dark_boundary,0.0,0.0,-0.01649393141269684,0.0,-2,-6
67#7,MC_ON,R4_normal,probability,matched_uniform,bright_boundary,0.0,0.0,0.0,0.015757352113723755,4,2
67#7,MC_ON,R4_H1_off,logit,ramp,dark_boundary,0.0,-0.009544134140014648,-0.11750268936157227,-0.009544134140014648,-2,-5
67#7,MC_ON,R4_H1_off,logit,ramp,bright_boundary,0.009544134140014648,0.0,0.009544134140014648,0.11750268936157227,5,2
67#7,MC_ON,R4_H1_off,logit,matched_uniform,dark_boundary,0.0,0.0,-0.11750268936157227,0.0,-2,-6
67#7,MC_ON,R4_H1_off,logit,matched_uniform,bright_boundary,0.0,0.0,0.0,0.11750268936157227,4,2
67#7,MC_ON,R4_H1_off,probability,ramp,dark_boundary,0.0,-0.0015257149934768677,-0.01995307207107544,-0.0015257149934768677,-2,-5
67#7,MC_ON,R4_H1_off,probability,ramp,bright_boundary,0.0016460716724395752,0.0,0.0016460716724395752,0.019096314907073975,5,2
67#7,MC_ON,R4_H1_off,probability,matched_uniform,dark_boundary,0.0,0.0,-0.01995307207107544,0.0,-2,-6
