step,sampled_train_batch_nll,inner_dev_nll
0,,0.6396564245223999
1,0.6360889673233032,0.6192421913146973
2,0.6697316765785217,0.6065943241119385
3,0.6415320038795471,0.5963379740715027
4,0.5734105706214905,0.5898833274841309
5,0.6378973126411438,0.5864869356155396
6,0.6646822690963745,0.5817607045173645
7,0.6429010629653931,0.5768338441848755
8,0.5369652509689331,0.5725132822990417
9,0.5271530747413635,0.5692090392112732
10,0.5526236891746521,0.5680469274520874
11,0.5083860158920288,0.5681702494621277
12,0.5778907537460327,0.567219614982605
13,0.5923119783401489,0.5646694302558899
14,0.5397594571113586,0.561229407787323
15,0.6079120635986328,0.5563594102859497
16,0.5568066835403442,0.5510863661766052
17,0.57606041431427,0.5458561182022095
18,0.570180356502533,0.540924072265625
19,0.5251258611679077,0.5365917086601257
20,0.51563560962677,0.533646821975708
21,0.49983251094818115,0.5317092537879944
22,0.5178666114807129,0.530732274055481
23,0.4827544689178467,0.5307337045669556
24,0.5169065594673157,0.5311232209205627
25,0.5288450121879578,0.5303115248680115
26,0.5567758083343506,0.5284688472747803
27,0.48155251145362854,0.5267742872238159
28,0.534209668636322,0.5235933661460876
29,0.5102858543395996,0.5211879014968872
30,0.5173712372779846,0.5197699666023254
31,0.5056148767471313,0.5181492567062378
32,0.497545063495636,0.5171235203742981
33,0.5712139010429382,0.516472339630127
34,0.5295536518096924,0.5158686637878418
35,0.5442208051681519,0.5153474807739258
36,0.48520001769065857,0.5148466229438782
37,0.5087992548942566,0.5144551396369934
38,0.48541536927223206,0.5141177773475647
39,0.48944371938705444,0.513752818107605
40,0.5008648037910461,0.5132876634597778
41,0.4802331328392029,0.5128524899482727
42,0.47570565342903137,0.5122719407081604
43,0.49366405606269836,0.5117621421813965
44,0.516160786151886,0.5113027095794678
45,0.5231761932373047,0.5108475089073181
46,0.47448408603668213,0.510423481464386
47,0.4938471019268036,0.5099979639053345
48,0.5001268982887268,0.5096328258514404
49,0.49903324246406555,0.5093286037445068
50,0.4729898273944855,0.5091363191604614
51,0.494920551776886,0.509037971496582
52,0.509221613407135,0.5089422464370728
53,0.4862036406993866,0.5089349746704102
54,0.5247055888175964,0.50870680809021
55,0.5299950242042542,0.5084205269813538
56,0.47045260667800903,0.5079298615455627
57,0.4854854643344879,0.5073530673980713
58,0.5823339819908142,0.5073694586753845
59,0.5563215017318726,0.5077317953109741
60,0.5264034271240234,0.5087767839431763
61,0.4348301887512207,0.5095100402832031
62,0.4720916450023651,0.510331928730011
63,0.5490707755088806,0.5105159282684326
64,0.5332168936729431,0.5099581480026245
65,0.5038095116615295,0.5095423460006714
66,0.4908345937728882,0.5087498426437378
67,0.4879722595214844,0.5081402659416199
68,0.5136668682098389,0.5073510408401489
69,0.5528618693351746,0.5070178508758545
70,0.500031590461731,0.5067088603973389
71,0.50960373878479,0.5065730810165405
72,0.5042160153388977,0.5064935088157654
