group,mode,channel,family,name,kind,n_cells,mean_on,peak_signed,peak_absolute,peak_latency_from_onset_ms,integral_response_seconds,onset_50ms_mean,offset_50ms_mean,positive_cells,negative_cells,zero_within_1e9_cells
PC_OFF,normal,logit,Mach,Mach_x-03,response_minus_blank,4,0.1423288006335497,0.21797531843185425,0.21797531843185425,66.66665649414062,0.016263449589411418,0.08931884914636612,0.08527952432632446,4,0,0
all,normal,logit,Mach,Mach_x-03,response_minus_blank,22,0.011101775633340532,0.05645936727523804,0.16241130503741177,64.24241638183594,0.0036305489323355936,0.0006896707821976055,0.03204232759096406,9,13,0
PC_OFF,normal,logit,Mach,Mach_x-03,clamp_minus_normal,4,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,4
all,normal,logit,Mach,Mach_x-03,clamp_minus_normal,22,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,22
PC_OFF,normal,logit,Mach,Mach_x-02,response_minus_blank,4,0.09338375926017761,0.14306576550006866,0.14306576550006866,63.33332824707031,0.010485173364480337,0.05902208015322685,0.05389709211885929,4,0,0
all,normal,logit,Mach,Mach_x-02,response_minus_blank,22,0.008187285687943751,0.04162720116701993,0.10852052948691628,72.42423456365412,0.0025900339899641097,0.0007572536441412839,0.022751871835101734,9,13,0
PC_OFF,normal,logit,Mach,Mach_x-02,clamp_minus_normal,4,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,4
all,normal,logit,Mach,Mach_x-02,clamp_minus_normal,22,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,22
PC_OFF,normal,logit,Mach,Mach_x-01,response_minus_blank,4,0.046657480765134096,0.07148610055446625,0.07148610055446625,63.33332824707031,0.005240632196267446,0.0294917281717062,0.026933753862977028,4,0,0
all,normal,logit,Mach,Mach_x-01,response_minus_blank,22,0.004091124632395804,0.02079515294595198,0.05422057075933977,72.42423456365412,0.0012917587793234624,0.0003737282346595417,0.011367577043446627,9,13,0
PC_OFF,normal,logit,Mach,Mach_x-01,clamp_minus_normal,4,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,4
all,normal,logit,Mach,Mach_x-01,clamp_minus_normal,22,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,22
PC_OFF,normal,logit,Mach,Mach_x+00,response_minus_blank,4,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,4
all,normal,logit,Mach,Mach_x+00,response_minus_blank,22,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,22
PC_OFF,normal,logit,Mach,Mach_x+00,clamp_minus_normal,4,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,4
all,normal,logit,Mach,Mach_x+00,clamp_minus_normal,22,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,22
PC_OFF,normal,logit,Mach,Mach_x+01,response_minus_blank,4,-0.04665748914703727,-0.07148611545562744,0.07148611545562744,63.33332824707031,-0.005240633686383565,-0.029491735622286797,-0.026933765038847923,0,4,0
all,normal,logit,Mach,Mach_x+01,response_minus_blank,22,-0.004091127362864261,-0.020795155655254017,0.0542205734686418,72.42423456365412,-0.001291759158625747,-0.00037373026663606817,-0.011367578736760399,13,9,0
PC_OFF,normal,logit,Mach,Mach_x+01,clamp_minus_normal,4,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,4
all,normal,logit,Mach,Mach_x+01,clamp_minus_normal,22,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,22
PC_OFF,normal,logit,Mach,Mach_x+02,response_minus_blank,4,-0.09338375739753246,-0.14306575059890747,0.14306575059890747,63.33332824707031,-0.010485173463821412,-0.059022074565291405,-0.05389708839356899,0,4,0
all,normal,logit,Mach,Mach_x+02,response_minus_blank,22,-0.00818728399462998,-0.04162720116701993,0.10852052948691628,72.42423456365412,-0.0025900337732199467,-0.0007572522894902663,-0.022751869125799698,13,9,0
