group,mode,channel,family,name,kind,n_cells,mean_on,peak_signed,peak_absolute,peak_latency_from_onset_ms,integral_response_seconds,onset_50ms_mean,offset_50ms_mean,positive_cells,negative_cells,zero_within_1e9_cells
all,normal,logit,Mach_bands,ramp_minus_matched_uniform_x-07,overlapping_minus_exclusive_pair,22,1.736789029006435e-05,-5.959922617132013e-05,0.000276560133153742,123.03029285777698,-9.48308092175108e-06,1.2043016878041355e-05,-8.248300714926286e-05,11,11,0
PC_OFF,normal,probability,Mach_bands,ramp_minus_matched_uniform_x-07,overlapping_minus_exclusive_pair,4,7.416556087491699e-06,1.0456889867782593e-05,1.2744218111038208e-05,89.99999237060547,1.0710954666137697e-06,3.842171281576157e-06,6.3050538301467896e-06,4,0,0
all,normal,probability,Mach_bands,ramp_minus_matched_uniform_x-07,overlapping_minus_exclusive_pair,22,3.458627198617912e-06,-1.0109421881762417e-05,4.5454976233569056e-05,120.60605135830966,-1.388140248529839e-06,2.210113135251132e-06,-1.337485049258579e-05,11,11,0
PC_OFF,normal,logit,Mach_bands,ramp_minus_matched_uniform_x-06,overlapping_minus_exclusive_pair,4,8.979042661394487e-05,0.000153467059135437,0.000153467059135437,78.33332824707031,1.0449389616648358e-05,4.780292510986328e-05,5.9431418776512146e-05,4,0,0
all,normal,logit,Mach_bands,ramp_minus_matched_uniform_x-06,overlapping_minus_exclusive_pair,22,6.254387671395472e-05,-6.352771412242542e-05,0.0005702430551702326,119.0908993807706,-1.398081129247492e-05,3.2866881652311846e-05,-0.0001337724653157321,12,10,0
PC_OFF,normal,probability,Mach_bands,ramp_minus_matched_uniform_x-06,overlapping_minus_exclusive_pair,4,2.039670991393905e-05,3.5136938095092773e-05,3.5136938095092773e-05,76.66666412353516,2.4191290140151977e-06,1.0876916348934174e-05,1.3241078704595566e-05,4,0,0
all,normal,probability,Mach_bands,ramp_minus_matched_uniform_x-06,overlapping_minus_exclusive_pair,22,1.1623741373382886e-05,-9.90317626432939e-06,9.422749280929565e-05,118.48483969948508,-2.005888205586058e-06,6.0828063975680955e-06,-2.204889262264425e-05,12,10,0
PC_OFF,normal,logit,Mach_bands,ramp_minus_matched_uniform_x-05,overlapping_minus_exclusive_pair,4,-4.099907528143376e-05,-0.0007132887840270996,0.002155512571334839,108.33332824707031,-0.00010036885738372803,4.1561201214790344e-05,-0.0008704550564289093,2,2,0
all,normal,logit,Mach_bands,ramp_minus_matched_uniform_x-05,overlapping_minus_exclusive_pair,22,0.0005900256391297179,0.0014344643462787974,0.005329064347527244,116.6666592684659,0.00011594736214840048,0.00015130842273885554,0.0010012310336936605,15,7,0
PC_OFF,normal,probability,Mach_bands,ramp_minus_matched_uniform_x-05,overlapping_minus_exclusive_pair,4,-1.6398680600104854e-06,-0.0001249164342880249,0.0004403442144393921,101.6666488647461,-1.6933133204778034e-05,1.1363066732883453e-05,-0.00015177670866250992,2,2,0
all,normal,probability,Mach_bands,ramp_minus_matched_uniform_x-05,overlapping_minus_exclusive_pair,22,6.726158620618993e-05,0.00019700588150457904,0.0008939440277489749,116.36362249200994,1.3134192788239682e-05,1.9381373104724016e-05,0.00012521500783887777,15,7,0
PC_OFF,normal,logit,Mach_bands,ramp_minus_matched_uniform_x-04,overlapping_minus_exclusive_pair,4,-0.0002832338213920593,-0.0022617578506469727,0.006849110126495361,108.33332061767578,-0.0003165740271409353,4.3402425944805145e-05,-0.0028095077723264694,2,2,0
